country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.0189,0.0213,0.0233,0.0249,0.0263,0.0289,0.0314,0.0327,0.0327,0.0362,0.0382,0.0404,0.0433,0.047,0.0505,0.0537,0.0572,0.0613,0.0659,0.0712,0.0754,0.0787,0.081,0.0851,0.0883,0.0933,0.0996,0.111,0.114,0.126
Angola,0.141,0.211,0.301,0.399,0.568,0.776,1.02,1.29,1.52,1.93,2.34,2.78,3.28,3.75,4.18,4.62,4.86,5.17,5.51,5.85,6.22,6.66,7.09,7.17,7.14,7.39,8.06,8.78,9.09,9.12
Albania,0.00691,0.00749,0.00849,0.00932,0.0104,0.0109,0.011,0.00953,0.0102,0.0102,0.00992,0.0102,0.01,0.00991,0.0102,0.0108,0.0115,0.0119,0.0115,0.0115,0.0112,0.0107,0.0104,0.01,0.00955,0.0091,0.00845,0.00783,0.00755,0.00736
Andorra,0.56,0.628,0.694,0.739,0.764,0.799,0.811,0.789,0.771,0.749,0.737,0.733,0.731,0.747,0.737,0.733,0.733,0.725,0.707,0.689,0.636,0.611,0.598,0.59,0.584,0.577,0.527,0.491,0.499,0.507
UAE,0.0545,0.0641,0.0745,0.0857,0.0966,0.109,0.123,0.137,0.155,0.173,0.195,0.222,0.253,0.281,0.304,0.345,0.394,0.45,0.5,0.517,0.546,0.578,0.598,0.61,0.635,0.639,0.643,0.631,0.601,0.557
Argentina,0.222,0.265,0.354,0.389,0.518,0.626,0.701,0.755,0.684,0.622,0.625,0.621,0.628,0.634,0.598,0.559,0.578,0.572,0.573,0.57,0.534,0.513,0.546,0.543,0.545,0.533,0.528,0.52,0.52,0.509
Armenia,0.00477,0.0046,0.00424,0.00409,0.00426,0.00434,0.00433,0.00445,0.00446,0.00442,0.00443,0.00428,0.00419,0.00419,0.00905,0.0149,0.0372,0.027,0.045,0.0451,0.0377,0.0369,0.0723,0.0582,0.104,0.112,0.0985,0.0784,0.0726,0.0685
Antigua and Barbuda,1.61,1.1,1.36,1.55,1.77,1.77,2.08,1.7,1.75,2.16,2.84,2.7,2.57,2.25,2.24,1.95,1.94,1.5,1.45,1.44,1.57,1.54,1.41,1.34,1.65,1.61,1.39,1.32,1.27,1.21
Australia,0.322,0.369,0.401,0.472,0.453,0.42,0.389,0.191,0.154,0.135,0.127,0.114,0.102,0.102,0.111,0.0891,0.0991,0.0903,0.0686,0.0728,0.0588,0.0719,0.0517,0.047,0.0446,0.0417,0.0456,0.0447,0.0428,0.0414
Austria,0.0849,0.11,0.167,0.181,0.224,0.205,0.147,0.083,0.0875,0.0724,0.0631,0.0665,0.0704,0.0661,0.0756,0.0874,0.0578,0.0791,0.063,0.0528,0.06,0.0538,0.05,0.0642,0.0541,0.0546,0.0431,0.0462,0.0449,0.043
Azerbaijan,0.0248,0.0287,0.0306,0.0346,0.0382,0.0453,0.0521,0.0584,0.0642,0.07,0.076,0.0825,0.0866,0.0887,0.0911,0.0928,0.0943,0.0837,0.0633,0.0568,0.0595,0.0504,0.0417,0.0389,0.0386,0.0402,0.042,0.0439,0.0471,0.0496
Burundi,6.48,8.41,10.4,12.1,12,13.2,14.1,14.6,15.2,15.4,15.1,15,14.7,14.1,13.4,12.4,13,11.8,10.7,9.68,8.81,7.86,7.03,6.4,5.81,5.07,4.18,3.32,2.73,2.47
