country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,595,772,992,1260,1590,1960,2400,2890,3430,4030,4670,5320,5990,6650,7300,7930,8520,9090
Anguilla,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Andorra,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Netherlands Antilles,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
UAE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,438,525,614,700,779,847,901,942,970,987,995,995,990,981,973,959,942,923
Armenia,0,0,0,1,2,4,7,12,19,29,39,47,53,56,59,61,62,63
American Samoa,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Australia,11,13,14,17,19,22,24,25,26,27,29,30,30,32,34,37,39,41
Austria,7,7,8,9,10,11,13,14,16,17,19,20,23,24,26,28,30,32
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,7,13,40,94,150,207,219
Burundi,1340,2030,3230,4190,4700,5070,5330,5650,5970,6320,6720,7070,7350,7450,7290,6990,6570,6190
Belgium,28,31,35,39,44,46,46,46,45,47,50,53,51,49,48,50,48,46
Benin,69,108,168,252,358,477,594,701,794,873,943,1000,1060,1110,1160,1200,1250,1300
Burkina Faso,2160,2490,2720,2980,3260,3620,4040,4640,5360,6130,6930,7660,8290,8680,8770,8640,8380,8190
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,650,662,682,900,959,977,995
Bulgaria,0,0,0,0,0,0,0,0,1,2,3,5,8,13,20,31,42,54
Bahrain,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bahamas,37,41,43,43,43,42,41,40,40,40,40,40,40,41,41,42,42,43
Bosnia and Herzegovina,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Belarus,3,4,9,16,34,61,99,140,186,218,228,212,198,202,207,209,209,209
Belize,0,1,3,8,12,14,16,17,17,18,19,20,20,21,22,22,23,24
Bermuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia,65,88,117,150,187,226,266,303,335,362,383,399,411,420,426,430,433,434
Brazil,10.1k,11.6k,12.7k,13.6k,14.1k,14.4k,14.6k,14.7k,14.7k,14.6k,14.5k,14.3k,14.2k,13.9k,13.7k,13.5k,13.2k,13k
Barbados,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,16,23,28
Botswana,950,1440,2000,2650,3320,4010,4630,5320,6030,6780,7590,8380,9080,9580,9760,9730,9570,9410
Central African Republic,664,952,1270,1630,2010,2420,2810,3250,3730,4230,4790,5330,5830,6200,6380,6410,6360,6320
Canada,84,84,83,78,76,73,72,72,72,71,71,73,77,78,82,86,90,95
Switzerland,70,75,72,70,68,65,61,60,60,56,51,47,47,48,46,44,42,39
Chile,26,35,46,59,72,85,97,106,113,116,117,116,114,111,108,104,100,96
China,1110,1540,2150,2940,3980,5290,6970,8910,11.1k,13.4k,15.7k,17.9k,19.8k,21.4k,22.8k,23.9k,24.7k,24.7k
Cote d'Ivoire,4890,6990,9220,11.7k,14.3k,16.9k,19.3k,22k,24.7k,27.6k,30.5k,33.1k,35.2k,36.3k,36k,34.8k,33.1k,31.4k
Cameroon,905,1530,2370,3470,4740,6070,7270,8490,9680,10.9k,12.2k,13.5k,14.7k,15.5k,15.9k,15.9k,15.6k,15.3k
"Congo, Dem. Rep.",3800,4340,4770,5250,5730,6240,6730,7370,8110,8990,10.1k,11.2k,12.3k,13.3k,13.8k,14.1k,14.3k,14.4k
"Congo, Rep.",1440,1770,2030,2280,2510,2730,2930,3170,3430,3730,4050,4370,4660,4840,4870,4810,4710,4600
Cook Is,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Colombia,136,189,258,339,431,526,619,702,771,827,868,898,919,932,940,943,944,945
